"id","name","province_id"
312,Huyện Quỳnh Nhai,30
313,Huyện Mường La,30
314,Huyện Sông Mã,30
315,Thành Phố Sơn La,30
316,Huyện Mai Sơn,30
317,Huyện Phù Yên,30
318,Huyện Thuận Châu,30
319,Huyện Mộc Châu,30
320,Huyện Yên Châu,30
321,Huyện Vân Hồ,30
322,Huyện Bắc Yên,30
323,Huyện Sốp Cộp,30
325,Huyện Lạc Thủy,31
326,Huyện Kim Bôi,31
327,Huyện Tân Lạc,31
328,Huyện Lương Sơn,31
329,Huyện Yên Thủy,31
330,Huyện Cao Phong,31
331,Huyện Đà Bắc,31
332,Huyện Lạc Sơn,31
333,Thành Phố Hòa Bình,31
334,Huyện Mai Châu,31
324,Huyện Kỳ Sơn,31
335,Huyện Ngọc Lặc,32
336,Huyện Hoằng Hóa,32
337,Huyện Quan Sơn,32
338,Huyện Thạch Thành,32
339,Huyện Quảng Xương,32
340,Huyện Nga Sơn,32
341,Huyện Đông Sơn,32
342,Huyện Vĩnh Lộc,32
343,Huyện Lang Chánh,32
344,Thành Phố Thanh Hóa,32
345,Huyện Triệu Sơn,32
346,Huyện Nông Cống,32
348,Huyện Thường Xuân,32
349,Huyện Như Xuân,32
350,Huyện Hậu Lộc,32
351,Huyện Như Thanh,32
352,Huyện Hà Trung,32
353,Huyện Mường Lát,32
354,Huyện Cẩm Thủy,32
355,Huyện Quan Hóa,32
356,Huyện Bá Thước,32
357,Huyện Yên Định,32
358,Huyện Thọ Xuân,32
359,Thị Xã Bỉm Sơn,32
360,Huyện Thiệu Hóa,32
361,Thành Phố Sầm Sơn,32
1232,Thị Xã Nghi Sơn,32
362,Huyện Anh Sơn,33
363,Huyện Con Cuông,33
364,Huyện Hưng Nguyên,33
365,Thị Xã Thái Hòa,33
366,Huyện Quỳ Châu,33
367,Thị Xã Cửa Lò,33
368,Huyện Tương Dương,33
369,Huyện Quế Phong,33
370,Huyện Tân Kỳ,33
371,Huyện Diễn Châu,33
372,Huyện Kỳ Sơn,33
373,Thành Phố Vinh,33
375,Huyện Nghi Lộc,33
376,Huyện Yên Thành,33
377,Huyện Quỳnh Lưu,33
378,Huyện Nam Đàn,33
379,Huyện Nghĩa Đàn,33
380,Thị Xã Hoàng Mai,33
381,Huyện Thanh Chương,33
382,Huyện Quỳ Hợp,33
383,Huyện Vũ Quang,34
384,Huyện Đức Thọ,34
385,Huyện Can Lộc,34
386,Huyện Lộc Hà,34
387,Huyện Nghi Xuân,34
388,Huyện Hương Sơn,34
389,Huyện Hương Khê,34
390,Huyện Cẩm Xuyên,34
391,Thành Phố Hà Tĩnh,34
392,Huyện Thạch Hà,34
393,Thị Xã Kỳ Anh,34
394,Huyện Kỳ Anh,34
395,Thị Xã Hồng Lĩnh,34
396,Huyện Lệ Thủy,35
397,Huyện Tuyên Hóa,35
398,Thành Phố Đồng Hới,35
399,Huyện Quảng Trạch,35
400,Huyện Minh Hóa,35
401,Huyện Quảng Ninh,35
402,Huyện Bố Trạch,35
403,Thị Xã Ba Đồn,35
404,Huyện Triệu Phong,36
405,Thành Phố Đông Hà,36
406,Huyện Hướng Hóa,36
407,Thị Xã Quảng Trị,36
408,Huyện Cam Lộ,36
409,Huyện Cồn Cỏ,36
410,Huyện Đa Krông,36
411,Huyện Hải Lăng,36
412,Huyện Vĩnh Linh,36
413,Huyện Gio Linh,36
414,Huyện Phú Vang,37
415,Huyện Phú Lộc,37
416,Thị Xã Hương Thủy,37
417,Huyện A Lưới,37
418,Huyện Phong Điền,37
419,Huyện Quảng Điền,37
420,Huyện Nam Đông,37
421,Thị Xã Hương Trà,37
422,Thành Phố Huế,37
423,Huyện Phú Ninh,38
424,Huyện Phước Sơn,38
425,Huyện Đại Lộc,38
426,Huyện Nam Giang,38
427,Huyện Thăng Bình,38
428,Thành Phố Tam Kỳ,38
429,Huyện Đông Giang,38
430,Huyện Bắc Trà My,38
431,Huyện Tây Giang,38
432,Huyện Tiên Phước,38
433,Thị Xã Điện Bàn,38
434,Huyện Quế Sơn,38
435,Huyện Nông Sơn,38
436,Huyện Núi Thành,38
437,Thành Phố Hội An,38
